Sample,Lake,Size,mcrA
AB1A,Saline,A64,7.492508499
AB2A,Saline,A64,7.039220259
AB3A,Saline,A64,7.280169819
AL1A,Brackish,A64,6.462847342
AL2A,Brackish,A64,6.628443879
AL3A,Brackish,A64,5.934174038
AL4A,Brackish,A64,6.679821492
AQ1A,Saline,A64,5.303173145
AQ2A,Saline,A64,4.815541455
AQ3A,Saline,A64,5.021083753
AY1A,Saline,A64,5.209861594
AY2A,Saline,A64,4.81339748
AY3A,Saline,A64,5.747850826
AY4A,Saline,A64,5.175598407
AY5A,Saline,A64,4.457585189
BL1A,Saline,A64,5.708122158
BL2A,Saline,A64,5.975124607
BL3A,Saline,A64,5.219952659
BST1A,AFresh,A64,6.53981138
BST2A,AFresh,A64,6.655425211
BST3A,AFresh,A64,6.49101565
BST4A,AFresh,A64,6.740428478
BST5A,AFresh,A64,7.22618804
BST6A,AFresh,A64,6.172200715
BST7A,AFresh,A64,6.13633879
BST8A,AFresh,A64,6.500431856
CW1A,Saline,A64,5.736488364
CW2A,Saline,A64,6.426308959
CW3A,Brackish,A64,6.619076562
JL1A,Brackish,A64,6.26621018
JL2A,Brackish,A64,5.54499201
JL3A,Brackish,A64,5.490661092
JL4A,Brackish,A64,6.007041876
JY1A,Saline,A64,5.334821368
JY2A,Saline,A64,4.840788566
JY3A,Saline,A64,5.167158204
JY4A,Saline,A64,4.477297203
KLK1A,AFresh,A64,5.551304195
KLK2A,AFresh,A64,6.148585011
KLK3A,AFresh,A64,6.051154787
KLK4A,AFresh,A64,6.634116204
KLK5A,AFresh,A64,5.808220564
KLK6A,AFresh,A64,6.285159148
KN1A,AFresh,A64,6.035635196
KN2A,AFresh,A64,6.16838893
KN3A,AFresh,A64,5.702511012
QF1A,AFresh,A64,4.733591775
QF2A,AFresh,A64,5.288722004
QF3A,AFresh,A64,4.990101037
QF4A,AFresh,A64,5.428312217
QL1A,AFresh,A64,5.921268485
QL2A,AFresh,A64,6.032363726
QL3A,AFresh,A64,5.906601912
QL4A,AFresh,A64,6.190152775
QL5A,AFresh,A64,6.140238883
SB1A,AFresh,A64,7.757868095
SB2A,AFresh,A64,8.498334589
SB3A,AFresh,A64,6.596400225
SB4A,AFresh,A64,7.546576246
SB5A,AFresh,A64,6.207094286
SL1A,Brackish,A64,7.017067068
SL2A,Brackish,A64,7.198449121
SL3A,Brackish,A64,5.73504442
SL4A,Brackish,A64,6.041224744
SL5A,Brackish,A64,5.855744654
SL6A,Brackish,A64,4.714353161
TT1A,Saline,A64,5.827256458
TT2A,Saline,A64,5.614313672
TT3A,Brackish,A64,6.026220125
TT4A,Brackish,A64,5.88167108
TT5A,Brackish,A64,6.258765085
TT6A,Brackish,A64,6.102506103
WL1A,Brackish,A64,5.584819122
WL2A,Brackish,A64,5.577640493
WL3A,Brackish,A64,5.913306816
WL4A,Brackish,A64,5.41943894
WL5A,Brackish,A64,5.165149066
WL6A,Brackish,A64,5.162392891
XE1A,Saline,A64,7.112561151
XE2A,Saline,A64,6.757874857
XE3A,Saline,A64,6.63045045
XE4A,Saline,A64,6.066085227
XE5A,Saline,A64,5.973219156
XH1A,AFresh,A64,5.882305065
XH2A,AFresh,A64,6.146394561
XH3A,AFresh,A64,5.941009836
XH4A,AFresh,A64,6.324315342
XH5A,AFresh,A64,5.358206688
AB1B,Saline,B5,10.00042409
AB2B,Saline,B5,10.80117785
AB3B,Saline,B5,10.5660373
AL1B,Brackish,B5,12.33786845
AL2B,Brackish,B5,12.35639498
AL3B,Brackish,B5,12.36235762
AL4B,Brackish,B5,12.8467982
AQ1B,Saline,B5,9.122246553
AQ2B,Saline,B5,9.290886779
AQ3B,Saline,B5,9.045231844
AY1B,Saline,B5,10.00945943
AY2B,Saline,B5,10.77666599
AY3B,Saline,B5,10.14555727
AY4B,Saline,B5,9.672647843
AY5B,Saline,B5,9.920189546
BL1B,Saline,B5,11.60825572
BL2B,Saline,B5,12.1135603
BL3B,Saline,B5,9.562235424
BST1B,AFresh,B5,9.353606885
BST2B,AFresh,B5,9.642363057
BST3B,AFresh,B5,9.012995857
BST4B,AFresh,B5,8.941230154
BST5B,AFresh,B5,9.466580897
BST6B,AFresh,B5,9.486744589
BST7B,AFresh,B5,8.886630625
BST8B,AFresh,B5,9.979838827
CW1B,Saline,B5,11.96987124
CW2B,Saline,B5,11.67076464
CW3B,Brackish,B5,11.14377374
JL1B,Brackish,B5,11.88781946
JL2B,Brackish,B5,11.4369061
JL3B,Brackish,B5,12.05460182
JL4B,Brackish,B5,11.15394812
JY1B,Saline,B5,9.787829712
JY2B,Saline,B5,9.313354544
JY3B,Saline,B5,9.57072488
JY4B,Saline,B5,8.953297867
KLK1B,AFresh,B5,9.290474404
KLK2B,AFresh,B5,10.10526165
KLK3B,AFresh,B5,8.812866514
KLK4B,AFresh,B5,9.342705511
KLK5B,AFresh,B5,9.565333203
KLK6B,AFresh,B5,9.778311864
KN1B,AFresh,B5,10.1661645
KN2B,AFresh,B5,10.51753967
KN3B,AFresh,B5,11.14985343
QF1B,AFresh,B5,8.336469208
QF2B,AFresh,B5,9.120601033
QF3B,AFresh,B5,8.384214897
QF4B,AFresh,B5,8.429143637
QL1B,AFresh,B5,10.76981202
QL2B,AFresh,B5,10.28102441
QL3B,AFresh,B5,9.459720925
QL4B,AFresh,B5,9.290120667
QL5B,AFresh,B5,10.70606305
SB1B,AFresh,B5,9.923295842
SB2B,AFresh,B5,10.27180866
SB3B,AFresh,B5,10.11457118
SB4B,AFresh,B5,10.2745487
SB5B,AFresh,B5,9.379906977
SL1B,Brackish,B5,10.11043123
SL2B,Brackish,B5,10.15717732
SL3B,Brackish,B5,10.04260364
SL4B,Brackish,B5,8.374716598
SL5B,Brackish,B5,8.934459394
SL6B,Brackish,B5,9.196376453
TT1B,Saline,B5,9.973706086
TT2B,Saline,B5,10.59009465
TT3B,Brackish,B5,10.66410319
TT4B,Brackish,B5,10.98924274
TT5B,Brackish,B5,10.34540107
TT6B,Brackish,B5,10.90458508
WL1B,Brackish,B5,10.76979036
WL2B,Brackish,B5,10.56490233
WL3B,Brackish,B5,10.9789701
WL4B,Brackish,B5,10.47568946
WL5B,Brackish,B5,10.07829222
WL6B,Brackish,B5,9.938607663
XE1B,Saline,B5,11.44343617
XE2B,Saline,B5,11.59769431
XE3B,Saline,B5,11.69429902
XE4B,Saline,B5,11.12799641
XE5B,Saline,B5,10.82870693
XH1B,AFresh,B5,10.16863474
XH2B,AFresh,B5,9.914237124
XH3B,AFresh,B5,10.13600665
XH4B,AFresh,B5,9.599358078
XH5B,AFresh,B5,9.832786243
AB1C,Saline,C0.2,12.45898585
AB2C,Saline,C0.2,12.57741104
AB3C,Saline,C0.2,11.83707999
AL1C,Brackish,C0.2,12.57181826
AL2C,Brackish,C0.2,12.95421922
AL3C,Brackish,C0.2,12.64326848
AL4C,Brackish,C0.2,12.55977116
AQ1C,Saline,C0.2,9.173508729
AQ2C,Saline,C0.2,9.360746584
AQ3C,Saline,C0.2,9.121205985
AY1C,Saline,C0.2,10.10673267
AY2C,Saline,C0.2,9.503509759
AY3C,Saline,C0.2,9.37410356
AY4C,Saline,C0.2,9.59933669
AY5C,Saline,C0.2,8.806958754
BL1C,Saline,C0.2,14.35681807
BL2C,Saline,C0.2,14.1029565
BL3C,Saline,C0.2,14.30554747
BST1C,AFresh,C0.2,10.47439769
BST2C,AFresh,C0.2,10.00651277
BST3C,AFresh,C0.2,10.92652094
BST4C,AFresh,C0.2,11.4213099
BST5C,AFresh,C0.2,10.65842447
BST6C,AFresh,C0.2,10.33440092
BST7C,AFresh,C0.2,10.69305615
BST8C,AFresh,C0.2,10.85754317
CW1C,Saline,C0.2,11.25672639
CW2C,Saline,C0.2,11.73900797
CW3C,Brackish,C0.2,11.71066666
JL1C,Brackish,C0.2,10.90593183
JL2C,Brackish,C0.2,11.01370077
JL3C,Brackish,C0.2,10.9006193
JL4C,Brackish,C0.2,10.69124823
JY1C,Saline,C0.2,9.05071862
JY2C,Saline,C0.2,8.678267312
JY3C,Saline,C0.2,10.18906264
JY4C,Saline,C0.2,8.869287417
KLK1C,AFresh,C0.2,9.209640446
KLK2C,AFresh,C0.2,9.778416709
KLK3C,AFresh,C0.2,9.48348375
KLK4C,AFresh,C0.2,9.866625488
KLK5C,AFresh,C0.2,9.703147654
KLK6C,AFresh,C0.2,9.333463307
KN1C,AFresh,C0.2,11.69742539
KN2C,AFresh,C0.2,9.96538054
KN3C,AFresh,C0.2,10.97570231
QF1C,AFresh,C0.2,10.78133655
QF2C,AFresh,C0.2,10.65385303
QF3C,AFresh,C0.2,11.28349165
QF4C,AFresh,C0.2,11.62217776
QL1C,AFresh,C0.2,10.30225119
QL2C,AFresh,C0.2,10.56875335
QL3C,AFresh,C0.2,10.05814008
QL4C,AFresh,C0.2,10.22248308
QL5C,AFresh,C0.2,10.83076642
SB1C,AFresh,C0.2,10.60783289
SB2C,AFresh,C0.2,10.94857092
SB3C,AFresh,C0.2,9.637699798
SB4C,AFresh,C0.2,10.74490338
SB5C,AFresh,C0.2,10.88171676
SL1C,Brackish,C0.2,10.30983433
SL2C,Brackish,C0.2,11.80107574
SL3C,Brackish,C0.2,10.03391328
SL4C,Brackish,C0.2,10.0764783
SL5C,Brackish,C0.2,10.66775364
SL6C,Brackish,C0.2,10.25740409
TT1C,Saline,C0.2,10.50480279
TT2C,Saline,C0.2,10.97669099
TT3C,Brackish,C0.2,11.24285887
TT4C,Brackish,C0.2,10.87224366
TT5C,Brackish,C0.2,10.84386935
TT6C,Brackish,C0.2,10.6075247
WL1C,Brackish,C0.2,11.82767512
WL2C,Brackish,C0.2,11.38679485
WL3C,Brackish,C0.2,11.43518372
WL4C,Brackish,C0.2,10.97201659
WL5C,Brackish,C0.2,10.33878353
WL6C,Brackish,C0.2,11.00916974
XE1C,Saline,C0.2,11.82523547
XE2C,Saline,C0.2,12.08387084
XE3C,Saline,C0.2,12.2978958
XE4C,Saline,C0.2,12.63418446
XE5C,Saline,C0.2,12.60469422
XH1C,AFresh,C0.2,9.849677338
XH2C,AFresh,C0.2,11.01262548
XH3C,AFresh,C0.2,10.337969
XH4C,AFresh,C0.2,11.37409935
XH5C,AFresh,C0.2,11.3997494
